callsign,Address,Xo,Yo,CodeOut,Antenna (m),Frequency MHz,Tx bandwidth kHz,Rx bandwidth kHz,Azimuth (deg),Nominal power (W),Tx antenna gain (dB),Rx antenna gain (dB),Tx losses (dB),Rx losses (dB),Pattern H,Pattern V,Coverage threshold (dBm),Rx threshold (dBm),signal(category),Tilt (deg),nfd,freqTx1,freqTx2,freqTx3,freqTx4,freqTx5,freqTx6,freqTx7,freqTx8,freqTx9,freqTx10,freqTx11,freqTx12,freqTx13,freqTx14,freqTx15,freqTx16,Downlink_cx
sample11,소형부대,126.963498,38.00816,4DEC,5,2000,4000,4000,0,1,22,22,3.5,3.5,,,-77,-77,2,0,L7M,2000,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
sample12,소형부대,127.011405,38.046212,4DEC,5,2000,4000,4000,0,1,22,22,3.5,3.5,,,-77,-77,2,0,L7M,2000,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
sample13,소형부대,127.026901,38.078241,4DEC,5,2000,4000,4000,0,1,22,22,3.5,3.5,,,-77,-77,2,0,L7M,2000,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
sample14,소형부대,127.044463,38.11684,4DEC,5,2000,4000,4000,0,1,22,22,3.5,3.5,,,-77,-77,2,0,L7M,2000,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
sample15,소형부대,127.073317,38.035204,4DEC,5,2000,4000,4000,0,1,22,22,3.5,3.5,,,-77,-77,2,0,L7M,2000,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
sample16,중형부대,127.092981,38.011787,4DEC,10,1429.5,5000,5000,0,1,20,20,0.5,0.5,,,-77,-77,2,0,B3N16,1429.5,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
sample17,소형부대,127.257481,37.955399,4DEC,5,2000,4000,4000,0,1,22,22,3.5,3.5,,,-77,-77,2,0,L7M,2000,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
sample18,소형부대,127.012295,37.90243,4DEC,5,2000,4000,4000,0,1,22,22,3.5,3.5,,,-77,-77,2,0,L7M,2000,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
sample19,소형부대,127.035471,37.909907,4DEC,5,2000,4000,4000,0,1,22,22,3.5,3.5,,,-77,-77,2,0,L7M,2000,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
sample20,소형부대,127.044823,37.931518,4DEC,5,2000,4000,4000,0,1,22,22,3.5,3.5,,,-77,-77,2,0,L7M,2000,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
sample21,소형부대,127.071745,37.931238,4DEC,5,2000,4000,4000,0,1,22,22,3.5,3.5,,,-77,-77,2,0,L7M,2000,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
sample22,소형부대,127.143727,37.844957,4DEC,5,2000,4000,4000,0,1,22,22,3.5,3.5,,,-77,-77,2,0,L7M,2000,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
sample23,소형부대,127.173291,37.837282,4DEC,5,2000,4000,4000,0,1,22,22,3.5,3.5,,,-77,-77,2,0,L7M,2000,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
sample24,소형부대,127.155603,37.868473,4DEC,5,2000,4000,4000,0,1,22,22,3.5,3.5,,,-77,-77,2,0,L7M,2000,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
sample25,소형부대,127.145658,37.860193,4DEC,5,2000,4000,4000,0,1,22,22,3.5,3.5,,,-77,-77,2,0,L7M,2000,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
sample26,중형부대,127.054578,37.952364,4DEC,10,1429.5,5000,5000,0,1,20,20,0.5,0.5,,,-77,-77,2,0,B3N16,1429.5,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
sample27,소형부대,126.996026,37.92959,4DEC,5,2000,4000,4000,0,1,22,22,3.5,3.5,,,-77,-77,2,0,L7M,2000,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
sample28,소형부대,127.00483,37.957286,4DEC,5,2000,4000,4000,0,1,22,22,3.5,3.5,,,-77,-77,2,0,L7M,2000,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
sample29,대형노드,127.178528,38.044741,4DEC,10,1429.5,5000,5000,0,1,20,20,0.5,0.5,,,-77,-77,2,0,B3N16,1429.5,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
sample30,대형노드,126.987717,37.962213,4DEC,10,1429.5,5000,5000,0,1,20,20,0.5,0.5,,,-77,-77,2,0,B3N16,1429.5,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
sample31,소형노드,127.040358,38.040354,4DEC,10,1429.5,5000,5000,0,1,20,20,0.5,0.5,,,-77,-77,2,0,B3N16,1429.5,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
sample32,소형노드,126.932201,37.960102,4DEC,10,1429.5,5000,5000,0,1,20,20,0.5,0.5,,,-77,-77,2,0,B3N16,1429.5,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
sample33,소형노드,127.171674,38.141283,4DEC,10,1429.5,5000,5000,0,1,20,20,0.5,0.5,,,-77,-77,2,0,B3N16,1429.5,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
sample34,소형노드,127.088571,38.049661,4DEC,10,1429.5,5000,5000,0,1,20,20,0.5,0.5,,,-77,-77,2,0,B3N16,1429.5,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
sample35,소형노드,126.968565,37.941812,4DEC,10,1429.5,5000,5000,0,1,20,20,0.5,0.5,,,-77,-77,2,0,B3N16,1429.5,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
sample36,소형노드,127.054479,38.09128,4DEC,10,1429.5,5000,5000,0,1,20,20,0.5,0.5,,,-77,-77,2,0,B3N16,1429.5,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
sample37,소형노드,127.07736,37.93918,4DEC,10,1429.5,5000,5000,0,1,20,20,0.5,0.5,,,-77,-77,2,0,B3N16,1429.5,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
sample38,소형노드,127.019194,37.918614,4DEC,10,1429.5,5000,5000,0,1,20,20,0.5,0.5,,,-77,-77,2,0,B3N16,1429.5,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
sample39,소형노드,127.02718,37.943959,4DEC,10,1429.5,5000,5000,0,1,20,20,0.5,0.5,,,-77,-77,2,0,B3N16,1429.5,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
sample40,소형노드,126.976398,38.031864,4DEC,10,1429.5,5000,5000,0,1,20,20,0.5,0.5,,,-77,-77,2,0,B3N16,1429.5,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
sample41,소형부대,127.22268,37.963377,4DEC,5,2000,4000,4000,0,1,22,22,3.5,3.5,,,-77,-77,2,0,L7M,2000,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
sample42,소형부대,127.178151,37.942599,4DEC,5,2000,4000,4000,0,1,22,22,3.5,3.5,,,-77,-77,2,0,L7M,2000,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
sample43,중형부대,127.224297,37.946594,4DEC,10,1429.5,5000,5000,0,1,20,20,0.5,0.5,,,-77,-77,2,0,B3N16,1429.5,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
sample44,소형부대,127.210544,37.93951,4DEC,5,2000,4000,4000,0,1,22,22,3.5,3.5,,,-77,-77,2,0,L7M,2000,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
sample45,중형부대,127.262053,37.972003,4DEC,10,1429.5,5000,5000,0,1,20,20,0.5,0.5,,,-77,-77,2,0,B3N16,1429.5,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
sample46,소형부대,127.290521,37.944182,4DEC,5,2000,4000,4000,0,1,22,22,3.5,3.5,,,-77,-77,2,0,L7M,2000,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
sample47,소형부대,127.280226,37.939283,4DEC,5,2000,4000,4000,0,1,22,22,3.5,3.5,,,-77,-77,2,0,L7M,2000,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
sample48,소형부대,127.295309,37.926366,4DEC,5,2000,4000,4000,0,1,22,22,3.5,3.5,,,-77,-77,2,0,L7M,2000,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
sample49,중형부대,127.300259,37.954382,4DEC,10,1429.5,5000,5000,0,1,20,20,0.5,0.5,,,-77,-77,2,0,B3N16,1429.5,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
sample50,소형부대,127.134304,37.9666,4DEC,5,2000,4000,4000,0,1,22,22,3.5,3.5,,,-77,-77,2,0,L7M,2000,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
sample51,소형부대,127.163131,38.002586,4DEC,5,2000,4000,4000,0,1,22,22,3.5,3.5,,,-77,-77,2,0,L7M,2000,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
sample52,소형부대,127.177594,38.021515,4DEC,5,2000,4000,4000,0,1,22,22,3.5,3.5,,,-77,-77,2,0,L7M,2000,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
sample53,중형부대,127.214703,37.924659,4DEC,10,1429.5,5000,5000,0,1,20,20,0.5,0.5,,,-77,-77,2,0,B3N16,1429.5,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
sample54,소형노드,127.174458,37.98511,4DEC,10,1429.5,5000,5000,0,1,20,20,0.5,0.5,,,-77,-77,2,0,B3N16,1429.5,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
sample55,소형부대,127.181654,37.929112,4DEC,5,2000,4000,4000,0,1,22,22,3.5,3.5,,,-77,-77,2,0,L7M,2000,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
sample56,중형부대,127.188445,37.898482,4DEC,10,1429.5,5000,5000,0,1,20,20,0.5,0.5,,,-77,-77,2,0,B3N16,1429.5,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
sample57,소형부대,127.243063,38.086295,4DEC,5,2000,4000,4000,0,1,22,22,3.5,3.5,,,-77,-77,2,0,L7M,2000,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
sample58,소형부대,127.248821,38.10452,4DEC,5,2000,4000,4000,0,1,22,22,3.5,3.5,,,-77,-77,2,0,L7M,2000,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
sample59,중형부대,127.128348,37.833124,4DEC,10,1429.5,5000,5000,0,1,20,20,0.5,0.5,,,-77,-77,2,0,B3N16,1429.5,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
sample60,중형부대,127.191293,38.032203,4DEC,10,1429.5,5000,5000,0,1,20,20,0.5,0.5,,,-77,-77,2,0,B3N16,1429.5,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
sample61,소형부대,127.19945,38.062375,4DEC,5,2000,4000,4000,0,1,22,22,3.5,3.5,,,-77,-77,2,0,L7M,2000,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
sample62,소형부대,127.209618,38.081833,4DEC,5,2000,4000,4000,0,1,22,22,3.5,3.5,,,-77,-77,2,0,L7M,2000,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
sample63,대형노드,127.247518,37.921629,4DEC,10,1429.5,5000,5000,0,1,20,20,0.5,0.5,,,-77,-77,2,0,B3N16,1429.5,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
sample64,대형노드,127.017433,37.971437,4DEC,10,1429.5,5000,5000,0,1,20,20,0.5,0.5,,,-77,-77,2,0,B3N16,1429.5,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
sample65,대형노드,127.11985,37.820267,4DEC,10,1429.5,5000,5000,0,1,20,20,0.5,0.5,,,-77,-77,2,0,B3N16,1429.5,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
sample66,소형노드,127.176318,37.913111,4DEC,10,1429.5,5000,5000,0,1,20,20,0.5,0.5,,,-77,-77,2,0,B3N16,1429.5,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
sample67,소형노드,127.280163,37.956107,4DEC,10,1429.5,5000,5000,0,1,20,20,0.5,0.5,,,-77,-77,2,0,B3N16,1429.5,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
sample68,소형노드,127.142074,37.992399,4DEC,10,1429.5,5000,5000,0,1,20,20,0.5,0.5,,,-77,-77,2,0,B3N16,1429.5,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
sample69,소형노드,127.249692,38.056501,4DEC,10,1429.5,5000,5000,0,1,20,20,0.5,0.5,,,-77,-77,2,0,B3N16,1429.5,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
