Callsign,Address,HCTR 차량수,LCTR MLR,LCTR SLR,Xo,Yo,CodeOut,Antenna (m),Frequency MHz,Tx bandwidth kHz,Rx bandwidth kHz,Azimuth (deg),Nominal power (W),Tx antenna gain (dB),Rx antenna gain (dB),Tx losses (dB),Rx losses (dB),Pattern H,Pattern V,Coverage threshold (dBm),Rx threshold (dBm),signal(category),Tilt (deg),nfd,freqTx1,freqTx2,freqTx3,freqTx4,freqTx5,freqTx6,freqTx7,freqTx8,freqTx9,freqTx10,freqTx11,freqTx12,freqTx13,freqTx14,freqTx15,freqTx16,Downlink_cx
BigNode2,대형노드,4,0,0,127.040412,37.957494,4DEC,10,1429.5,15000,15000,0,1,20,20,0.5,0.5,,,-70,-70,2,0,B3N16,1429.5,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
BigNode3,대형노드,4,0,0,127.247518,37.921629,4DEC,10,1429.5,15000,15000,0,1,20,20,0.5,0.5,,,-70,-70,2,0,B3N16,1429.5,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
BigNode4,대형노드,4,0,0,127.11985,37.820268,4DEC,10,1429.5,15000,15000,0,1,20,20,0.5,0.5,,,-70,-70,2,0,B3N16,1429.5,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
SmCom1,소형부대,0,0,1,127.288026,38.137517,4DEC,5,2030,14400,14400,0,1,22,22,3.5,3.5,,,-80,-80,2,0,L7M,2030,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
SmCom2,소형부대,0,0,1,127.2806629,38.12086754,4DEC,5,2030,14400,14400,0,1,22,22,3.5,3.5,,,-80,-80,2,0,L7M,2030,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
SmCom3,소형부대,0,0,1,127.255842,38.132365,4DEC,5,2030,14400,14400,0,1,22,22,3.5,3.5,,,-80,-80,2,0,L7M,2030,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
SmCom4,소형부대,0,0,1,127.298853,38.106859,4DEC,5,2030,14400,14400,0,1,22,22,3.5,3.5,,,-80,-80,2,0,L7M,2030,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
SmCom5,소형부대,0,0,1,127.2888,38.102019,4DEC,5,2030,14400,14400,0,1,22,22,3.5,3.5,,,-80,-80,2,0,L7M,2030,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
SmCom6,소형부대,0,0,1,127.320762,38.110946,4DEC,5,2030,14400,14400,0,1,22,22,3.5,3.5,,,-80,-80,2,0,L7M,2030,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
SmCom7,소형부대,0,0,1,127.2753064,38.09106019,4DEC,5,2030,14400,14400,0,1,22,22,3.5,3.5,,,-80,-80,2,0,L7M,2030,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
SmCom8,소형부대,0,0,1,127.283584,38.109419,4DEC,5,2030,14400,14400,0,1,22,22,3.5,3.5,,,-80,-80,2,0,L7M,2030,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
SmCom9,소형부대,0,0,1,127.280029,38.10402217,4DEC,5,2030,14400,14400,0,1,22,22,3.5,3.5,,,-80,-80,2,0,L7M,2030,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
SmCom10,소형부대,0,0,1,127.2646358,38.10360701,4DEC,5,2030,14400,14400,0,1,22,22,3.5,3.5,,,-80,-80,2,0,L7M,2030,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
SmCom11,소형부대,0,0,1,127.258189,38.085873,4DEC,5,2030,14400,14400,0,1,22,22,3.5,3.5,,,-80,-80,2,0,L7M,2030,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
SmCom12,소형부대,0,0,1,127.22607,38.093867,4DEC,5,2030,14400,14400,0,1,22,22,3.5,3.5,,,-80,-80,2,0,L7M,2030,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
SmCom13,소형부대,0,0,1,127.221444,38.109821,4DEC,5,2030,14400,14400,0,1,22,22,3.5,3.5,,,-80,-80,2,0,L7M,2030,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
SmCom14,소형부대,0,0,1,127.0644947,38.04532321,4DEC,5,2030,14400,14400,0,1,22,22,3.5,3.5,,,-80,-80,2,0,L7M,2030,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
SmCom15,소형부대,0,0,1,127.068301,38.098024,4DEC,5,2030,14400,14400,0,1,22,22,3.5,3.5,,,-80,-80,2,0,L7M,2030,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
SmCom16,소형부대,0,0,1,127.0016101,38.01768119,4DEC,5,2030,14400,14400,0,1,22,22,3.5,3.5,,,-80,-80,2,0,L7M,2030,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
SmCom17,소형부대,0,0,1,126.9529926,38.00442709,4DEC,5,2030,14400,14400,0,1,22,22,3.5,3.5,,,-80,-80,2,0,L7M,2030,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
SmCom18,소형부대,0,0,1,126.9111602,37.94998603,4DEC,5,2030,14400,14400,0,1,22,22,3.5,3.5,,,-80,-80,2,0,L7M,2030,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1
